question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval03,emotion,20,14,0.021116971969604492,0.0260850191116333
eval03,emotion,20,15,0.0016021728515625,0.053040385246276855
eval03,emotion,20,16,0.015024185180664062,0.013321876525878906
eval03,emotion,20,17,0.00041925907135009766,0.019176959991455078
eval03,emotion,20,18,-0.010967493057250977,-0.025662660598754883
eval03,emotion,20,19,-0.04485964775085449,0.006371498107910156
eval03,emotion,20,20,-0.017580389976501465,-0.007391452789306641
eval03,emotion,27,1,1.533172607421875,1.2355847358703613
eval03,emotion,27,2,1.1742515563964844,0.3811817169189453
eval03,emotion,27,3,0.49822998046875,0.14921188354492188
eval03,emotion,27,4,0.6166419982910156,0.4485626220703125
eval03,emotion,27,5,-0.041263580322265625,-0.0109100341796875
eval03,emotion,27,6,0.5651264190673828,0.7553920745849609
eval03,emotion,27,7,0.533477783203125,0.15094614028930664
eval03,emotion,27,8,0.3305549621582031,0.6868896484375
eval03,emotion,27,9,0.3771820068359375,0.4323234558105469
eval03,emotion,27,10,0.18423843383789062,0.9149436950683594
eval03,emotion,27,11,-0.07848739624023438,0.04457569122314453
eval03,emotion,27,12,0.6008358001708984,-0.07013320922851562
eval03,emotion,27,13,-0.019498825073242188,-0.04183173179626465
eval03,emotion,27,14,1.0483970642089844,0.7505588531494141
eval03,emotion,27,15,0.07701873779296875,0.7093124389648438
eval03,emotion,27,16,-0.12955856323242188,-0.09241294860839844
eval03,emotion,27,17,-0.28905487060546875,-0.0920248031616211
eval03,emotion,27,18,0.35277748107910156,0.15546417236328125
eval03,emotion,27,19,0.5130348205566406,0.09753227233886719
eval03,emotion,27,20,1.009786605834961,0.328582763671875
eval03,persona,20,1,0.3374037742614746,0.1206808090209961
eval03,persona,20,2,0.0893559455871582,0.028809070587158203
eval03,persona,20,3,0.0710134506225586,0.0011811256408691406
eval03,persona,20,4,0.05134296417236328,0.02547597885131836
eval03,persona,20,5,0.012198925018310547,0.008240699768066406
eval03,persona,20,6,0.024528980255126953,0.014384269714355469
eval03,persona,20,7,0.036244869232177734,-0.006527423858642578
eval03,persona,20,8,0.08304429054260254,0.039114952087402344
eval03,persona,20,9,0.11044692993164062,0.02895069122314453
eval03,persona,20,10,0.05413007736206055,0.014170646667480469
eval03,persona,20,11,-0.03204536437988281,0.01371157169342041
eval03,persona,20,12,0.04264640808105469,0.029285192489624023
eval03,persona,20,13,0.06088066101074219,-0.021025896072387695
eval03,persona,20,14,0.043970584869384766,-0.006925463676452637
eval03,persona,20,15,0.019159793853759766,0.009105801582336426
eval03,persona,20,16,0.02856159210205078,0.005503177642822266
eval03,persona,20,17,0.016847729682922363,0.011207103729248047
eval03,persona,20,18,0.009784102439880371,-0.01330876350402832
eval03,persona,20,19,-0.014450430870056152,-0.013452291488647461
eval03,persona,20,20,-0.0036454200744628906,-0.009243488311767578
eval03,persona,27,1,2.9884567260742188,1.2506613731384277
