emotion,condition,layer,overlap_cosine,parallel_fraction,mean_delta_sycophancy_projection,mean_delta_emotion_projection
horrified,orthogonal_matched,30,0.01697841,0.0002882669,-0.0401040775468573,2.485029327869415
horrified,orthogonal_matched,31,0.01697841,0.0002882669,-0.04208539023529738,2.4143367290496824
horrified,orthogonal_matched,32,0.01697841,0.0002882669,-0.07276490433141589,2.3939036965370177
horrified,orthogonal_matched,33,0.01697841,0.0002882669,-0.10076820813119411,2.40615576505661
horrified,orthogonal_matched,34,0.01697841,0.0002882669,-0.13361377809196712,2.437159609794617
horrified,orthogonal_matched,35,0.01697841,0.0002882669,-0.18492244444787503,2.3771924495697023
horrified,orthogonal_matched,36,0.01697841,0.0002882669,-0.19549743384122847,2.3116561651229857
horrified,orthogonal_matched,37,0.01697841,0.0002882669,-0.28381206914782525,2.2969068050384522
horrified,orthogonal_matched,38,0.01697841,0.0002882669,-0.3668588437139988,2.0488063156604768
horrified,orthogonal_matched,39,0.01697841,0.0002882669,-2.009813892841339,13.732850122451783
disgusted,full,22,-0.010868017,0.000118114,-0.013060377351939679,3.1312633037567137
disgusted,full,23,-0.010868017,0.000118114,-0.00460241325199604,2.9599711775779722
disgusted,full,24,-0.010868017,0.000118114,-0.026343439379706977,2.8668731212615968
disgusted,full,25,-0.010868017,0.000118114,-0.07948911879211665,2.780290114879608
disgusted,full,26,-0.010868017,0.000118114,-0.09296773578971625,2.7043700218200684
disgusted,full,27,-0.010868017,0.000118114,-0.09687101356685161,2.6409409403800965
disgusted,full,28,-0.010868017,0.000118114,-0.09714938402175903,2.571734595298767
disgusted,full,29,-0.010868017,0.000118114,-0.1038910971954465,2.5163339018821715
disgusted,full,30,-0.010868017,0.000118114,-0.11883924044668674,2.4965463519096374
disgusted,full,31,-0.010868017,0.000118114,-0.12242482993751765,2.4523041605949403
disgusted,full,32,-0.010868017,0.000118114,-0.12187878005206584,2.4709309220314024
disgusted,full,33,-0.010868017,0.000118114,-0.12610533125698567,2.488020730018616
disgusted,full,34,-0.010868017,0.000118114,-0.14589817821979523,2.494604539871216
disgusted,full,35,-0.010868017,0.000118114,-0.15556022431701422,2.436279761791229
disgusted,full,36,-0.010868017,0.000118114,-0.17981975600123407,2.4239698171615602
disgusted,full,37,-0.010868017,0.000118114,-0.2328444842249155,2.349290680885315
disgusted,full,38,-0.010868017,0.000118114,-0.25394087806344035,2.18492773771286
disgusted,full,39,-0.010868017,0.000118114,-0.7597494184970855,14.321922492980956
disgusted,orthogonal_matched,22,-0.010868017,0.000118114,0.021761852083727717,3.1323349595069887
disgusted,orthogonal_matched,23,-0.010868017,0.000118114,0.029353964142501354,2.9611796140670776
disgusted,orthogonal_matched,24,-0.010868017,0.000118114,0.007190692937001586,2.8679120182991027
disgusted,orthogonal_matched,25,-0.010868017,0.000118114,-0.04553818823769688,2.7809990763664247
