question_id,intervention,measurement_layer,distance,delta_persona_projection,delta_emotion_projection
eval02,emotion,22,20,-0.0022094249725341797,-0.00036269426345825195
eval02,emotion,39,1,-0.6436080932617188,3.5071020126342773
eval02,emotion,39,2,1.4458503723144531,3.4020538330078125
eval02,emotion,39,3,1.460922122001648,3.235952377319336
eval02,emotion,39,4,0.36081504821777344,3.177762985229492
eval02,emotion,39,5,1.7646989822387695,1.2808647155761719
eval02,emotion,39,6,1.7774200439453125,1.765594482421875
eval02,emotion,39,7,0.8250045776367188,0.7084884643554688
eval02,emotion,39,8,0.3414325714111328,0.8719367980957031
eval02,emotion,39,9,-1.9113883972167969,0.129791259765625
eval02,emotion,39,10,0.00469207763671875,-0.6934394836425781
eval02,emotion,39,11,-0.07568740844726562,-0.19599533081054688
eval02,emotion,39,12,-0.9776763916015625,0.9459915161132812
eval02,emotion,39,13,1.7254619598388672,0.8959732055664062
eval02,emotion,39,14,-0.47722721099853516,0.21641921997070312
eval02,emotion,39,15,0.5497703552246094,0.1427001953125
eval02,emotion,39,16,1.3551998138427734,0.7663421630859375
eval02,emotion,39,17,0.9722366333007812,-0.8755264282226562
eval02,emotion,39,18,0.7343673706054688,0.5580120086669922
eval02,emotion,39,19,-0.1757030487060547,-0.19682598114013672
eval02,emotion,39,20,-0.3067207336425781,0.6571311950683594
eval02,persona,22,1,0.009665921330451965,-0.009292662143707275
eval02,persona,22,2,0.051238179206848145,0.013789147138595581
eval02,persona,22,3,0.028626561164855957,0.004156887531280518
eval02,persona,22,4,0.00723189115524292,0.002758502960205078
eval02,persona,22,5,0.004672825336456299,0.0018466711044311523
eval02,persona,22,6,0.0015488862991333008,-0.0035971999168395996
eval02,persona,22,7,0.006875276565551758,0.0005757808685302734
eval02,persona,22,8,0.0031232833862304688,0.0012328624725341797
eval02,persona,22,9,-0.0016454458236694336,-0.001432180404663086
eval02,persona,22,10,0.002283334732055664,-0.0022652149200439453
eval02,persona,22,11,0.0037375688552856445,0.0016055107116699219
eval02,persona,22,12,0.0009965896606445312,-0.0028852224349975586
eval02,persona,22,13,-0.0004934072494506836,-0.00023305416107177734
eval02,persona,22,14,0.0019948482513427734,0.0009821653366088867
eval02,persona,22,15,0.0007156133651733398,-0.0014172792434692383
eval02,persona,22,16,-0.0006341934204101562,0.0024605989456176758
eval02,persona,22,17,0.00022608041763305664,0.00044286251068115234
eval02,persona,22,18,0.0009416639804840088,-0.00028955936431884766
eval02,persona,22,19,0.0012502670288085938,0.0012906193733215332
eval02,persona,22,20,-0.00040543079376220703,5.7220458984375e-05
eval02,persona,39,1,10.003425598144531,1.0510778427124023
eval02,persona,39,2,8.341392517089844,2.3848133087158203
eval02,persona,39,3,8.50688362121582,0.8310375213623047
eval02,persona,39,4,3.3593502044677734,0.93951416015625
eval02,persona,39,5,2.247696876525879,-0.15486907958984375
eval02,persona,39,6,5.286556243896484,2.0443115234375
eval02,persona,39,7,1.3844223022460938,0.5607757568359375
eval02,persona,39,8,0.5586318969726562,0.201690673828125
eval02,persona,39,9,-1.709259033203125,-0.6723289489746094
eval02,persona,39,10,0.2411518096923828,-0.4627265930175781
eval02,persona,39,11,1.0750236511230469,0.7162246704101562
eval02,persona,39,12,0.07863426208496094,0.6794586181640625
eval02,persona,39,13,0.9144020080566406,0.7659225463867188
eval02,persona,39,14,-0.11995697021484375,0.5366172790527344
eval02,persona,39,15,0.8631153106689453,1.1284027099609375
eval02,persona,39,16,2.0292606353759766,-0.2446746826171875
eval02,persona,39,17,0.5949554443359375,-1.506072998046875
eval02,persona,39,18,1.1083831787109375,0.5291156768798828
eval02,persona,39,19,0.035213470458984375,-0.6295881271362305
eval02,persona,39,20,-0.14880943298339844,0.4848670959472656
eval03,emotion,22,1,0.0008716583251953125,0.011000752449035645
eval03,emotion,22,2,-0.0038457512855529785,0.011012613773345947
eval03,emotion,22,3,0.004795551300048828,0.004730224609375
eval03,emotion,22,4,-0.0003440380096435547,0.007642626762390137
eval03,emotion,22,5,0.0015873908996582031,0.006098270416259766
eval03,emotion,22,6,0.004762083292007446,0.017719268798828125
eval03,emotion,22,7,0.005092889070510864,0.012792587280273438
eval03,emotion,22,8,-0.0007969141006469727,0.003636598587036133
eval03,emotion,22,9,0.0006871223449707031,0.003355264663696289
eval03,emotion,22,10,-0.0007138252258300781,0.0021958649158477783
eval03,emotion,22,11,-0.0014276504516601562,0.0023952722549438477
eval03,emotion,22,12,-0.0003037750720977783,0.0021224021911621094
eval03,emotion,22,13,-0.0003590583801269531,0.0011670589447021484
eval03,emotion,22,14,0.00287705659866333,0.001956462860107422
eval03,emotion,22,15,-0.0014666616916656494,-0.0009530186653137207
eval03,emotion,22,16,0.0008776187896728516,0.002615213394165039
eval03,emotion,22,17,-0.0018951892852783203,8.26716423034668e-05
eval03,emotion,22,18,0.0015037059783935547,0.00023639202117919922
eval03,emotion,22,19,-0.0007769465446472168,0.00034928321838378906
eval03,emotion,22,20,-0.0005565881729125977,0.0011820197105407715
